Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum 
3774754,998,36.5664,58,298158,42,298158
3774754,971,72.4336,45,298158,41,298158
3774754,953,67.3789,48,298158,40,298158
3774754,988,66.0508,45,298158,38,298158
3774754,1003,67.043,45,298158,38,298158
3774754,1010,67.2617,44,298158,40,298158
3774754,1015,72.4492,51,298158,41,298158
3774754,1051,72.4531,48,298158,43,298158
3774754,941,72.457,58,298158,42,298158
3774754,992,69.582,46,298158,41,298158
3774754,973,72.4648,51,298158,41,298158
3774754,981,67.4727,48,298158,42,298158
3774754,972,72.4727,47,298158,42,298158
3774754,967,72.4727,51,298158,43,298158
3774754,951,72.4766,52,298158,42,298158
3774754,959,72.4805,48,298158,44,298158
3774754,995,72.4844,52,298158,44,298158
3774754,970,72.4883,51,298158,47,298158
3774754,960,72.4883,52,298158,43,298158
3774754,980,72.4883,49,298158,43,298158
