Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum 
55712,966,1552.76,176,57413.6,237,58989.3
55712,925,1554.64,174,57413.6,224,58989.3
55712,909,1554.68,173,57413.6,222,58989.3
55712,1045,1554.9,273,57413.6,253,58989.3
55712,1104,1554.9,206,57413.6,253,58989.3
55712,1078,1573.57,210,57413.6,245,58989.3
55712,960,1592.25,296,57413.6,381,58989.3
55712,923,1610.92,175,57413.6,226,58989.3
55712,944,1629.59,173,57413.6,229,58989.3
55712,975,1648.13,215,57413.6,236,58989.3
55712,975,1666.81,182,57413.6,243,58989.3
55712,961,1666.81,214,57413.6,246,58989.3
55712,960,1685.48,174,57413.6,236,58989.3
55712,907,1704.02,218,57413.6,228,58989.3
55712,893,1722.7,215,57413.6,313,58989.3
55712,930,1741.37,296,57413.6,281,58989.3
55712,870,1760.04,169,57413.6,227,58989.3
55712,1004,1778.71,255,57413.6,269,58989.3
55712,1072,1778.71,240,57413.6,252,58989.3
55712,1088,1797.38,259,57413.6,267,58989.3
