Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum 
3774754,2008,28.8008,34,298158,36,298158
3774754,2011,57.4805,34,298158,33,298158
3774754,2003,57.4805,34,298158,33,298158
3774754,2006,57.4805,34,298158,33,298158
3774754,2005,57.4805,34,298158,33,298158
3774754,2005,57.4805,34,298158,33,298158
3774754,2016,57.4805,34,298158,33,298158
3774754,2006,57.4805,34,298158,33,298158
3774754,2006,57.4805,34,298158,33,298158
3774754,2009,57.4805,35,298158,33,298158
3774754,2005,57.4805,34,298158,33,298158
3774754,2004,57.4805,34,298158,33,298158
3774754,2004,57.4805,34,298158,33,298158
3774754,2006,57.4805,34,298158,33,298158
3774754,2003,57.4805,34,298158,33,298158
3774754,2005,57.4805,34,298158,33,298158
3774754,2004,57.4805,34,298158,33,298158
3774754,2016,57.4805,34,298158,33,298158
3774754,2005,57.4805,34,298158,33,298158
3774754,2003,57.4805,34,298158,33,298158
