Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum 
55712,954,1552.77,185,57413.6,252,58989.3
55712,1111,1554.65,619,57413.6,261,58989.3
55712,1021,1554.78,267,57413.6,237,58989.3
55712,1071,1554.91,333,57413.6,271,58989.3
55712,1113,1555.04,259,57413.6,263,58989.3
55712,935,1555.16,226,57413.6,247,58989.3
55712,1071,1555.29,239,57413.6,264,58989.3
55712,928,1555.07,334,57413.6,265,58989.3
55712,876,1573.96,242,57413.6,277,58989.3
55712,989,1592.51,331,57413.6,304,58989.3
55712,1052,1592.51,355,57413.6,341,58989.3
55712,901,1611.18,259,57413.6,330,58989.3
55712,972,1611.18,189,57413.6,239,58989.3
55712,1005,1629.86,271,57413.6,316,58989.3
55712,1001,1648.53,190,57413.6,286,58989.3
55712,926,1667.2,182,57413.6,275,58989.3
55712,862,1685.87,187,57413.6,272,58989.3
55712,902,1704.54,183,57413.6,241,58989.3
55712,1098,1723.21,208,57413.6,261,58989.3
55712,1091,1741.89,204,57413.6,262,58989.3
