Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum 
55712,9294,1552.29,157,57413.6,220,58989.3
55712,9300,1553.93,154,57413.6,216,58989.3
55712,9319,1553.93,156,57413.6,218,58989.3
55712,9303,1553.93,156,57413.6,215,58989.3
55712,9276,1553.93,168,57413.6,214,58989.3
55712,9315,1553.93,156,57413.6,215,58989.3
55712,9306,1553.93,158,57413.6,232,58989.3
55712,9306,1553.93,156,57413.6,217,58989.3
55712,9295,1553.93,168,57413.6,217,58989.3
55712,9305,1553.93,159,57413.6,222,58989.3
55712,9299,1553.93,158,57413.6,234,58989.3
55712,9304,1553.93,156,57413.6,221,58989.3
55712,9295,1553.93,157,57413.6,227,58989.3
55712,9299,1553.93,155,57413.6,216,58989.3
55712,9320,1553.93,157,57413.6,216,58989.3
55712,9286,1553.93,156,57413.6,216,58989.3
55712,9305,1553.93,174,57413.6,220,58989.3
55712,9305,1553.93,156,57413.6,215,58989.3
55712,9274,1553.93,156,57413.6,234,58989.3
55712,9317,1553.93,156,57413.6,216,58989.3
