Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum
2,757,0.488281,167,2.35432e+06,171,2.35432e+06
2,788,9.69531,177,2.35432e+06,157,2.35432e+06
2,753,9.69531,171,2.35432e+06,156,2.35432e+06
2,748,9.69531,164,2.35432e+06,153,2.35432e+06
2,741,9.70703,163,2.35432e+06,153,2.35432e+06
2,728,9.71094,167,2.35432e+06,150,2.35432e+06
2,761,9.71484,231,2.35432e+06,161,2.35432e+06
2,722,9.71875,175,2.35432e+06,154,2.35432e+06
2,802,9.72656,167,2.35432e+06,155,2.35432e+06
2,825,9.73047,162,2.35432e+06,150,2.35432e+06
2,787,9.73438,149,2.35432e+06,166,2.35432e+06
2,753,9.73438,169,2.35432e+06,154,2.35432e+06
2,811,9.73828,161,2.35432e+06,147,2.35432e+06
2,774,9.74219,160,2.35432e+06,154,2.35432e+06
2,766,9.74219,165,2.35432e+06,151,2.35432e+06
2,767,9.74219,160,2.35432e+06,163,2.35432e+06
2,767,9.74609,169,2.35432e+06,149,2.35432e+06
2,768,9.74609,202,2.35432e+06,148,2.35432e+06
2,807,9.75,167,2.35432e+06,159,2.35432e+06
2,735,9.75,165,2.35432e+06,150,2.35432e+06
