Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum
2,430,0,150,2.35432e+06,142,2.35432e+06
2,433,0.625,150,2.35432e+06,140,2.35432e+06
2,432,0.625,150,2.35432e+06,139,2.35432e+06
2,436,0.625,150,2.35432e+06,140,2.35432e+06
2,429,0.625,149,2.35432e+06,140,2.35432e+06
2,431,0.625,150,2.35432e+06,140,2.35432e+06
2,436,0.625,150,2.35432e+06,139,2.35432e+06
2,430,0.625,148,2.35432e+06,138,2.35432e+06
2,431,0.625,150,2.35432e+06,140,2.35432e+06
2,433,0.625,150,2.35432e+06,139,2.35432e+06
2,431,0.625,150,2.35432e+06,139,2.35432e+06
2,430,0.625,151,2.35432e+06,139,2.35432e+06
2,433,0.625,149,2.35432e+06,138,2.35432e+06
2,433,0.625,149,2.35432e+06,138,2.35432e+06
2,429,0.625,149,2.35432e+06,140,2.35432e+06
2,430,0.625,149,2.35432e+06,138,2.35432e+06
2,428,0.625,148,2.35432e+06,139,2.35432e+06
2,432,0.625,150,2.35432e+06,138,2.35432e+06
2,428,0.625,149,2.35432e+06,138,2.35432e+06
2,430,0.625,151,2.35432e+06,140,2.35432e+06
