Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum
2,532,0.488281,341,2.35432e+06,291,2.35432e+06
2,590,9.69141,212,2.35432e+06,191,2.35432e+06
2,573,9.625,218,2.35432e+06,178,2.35432e+06
2,572,9.5625,226,2.35432e+06,191,2.35432e+06
2,581,9.49219,211,2.35432e+06,167,2.35432e+06
2,535,9.43359,220,2.35432e+06,196,2.35432e+06
2,535,9.70312,267,2.35432e+06,210,2.35432e+06
2,586,9.66406,221,2.35432e+06,185,2.35432e+06
2,569,9.57031,212,2.35432e+06,195,2.35432e+06
2,598,9.52344,228,2.35432e+06,181,2.35432e+06
2,547,9.45312,206,2.35432e+06,173,2.35432e+06
2,581,9.42188,225,2.35432e+06,183,2.35432e+06
2,544,9.375,234,2.35432e+06,185,2.35432e+06
2,550,9.29297,217,2.35432e+06,191,2.35432e+06
2,587,9.73438,222,2.35432e+06,172,2.35432e+06
2,555,9.73828,221,2.35432e+06,172,2.35432e+06
2,546,9.74219,199,2.35432e+06,187,2.35432e+06
2,559,9.74609,221,2.35432e+06,185,2.35432e+06
2,547,9.74609,232,2.35432e+06,188,2.35432e+06
2,537,9.69531,267,2.35432e+06,246,2.35432e+06
